structureNumber,intervention
S001 00166,No
S001 00266,Yes
S001 00266,Yes
S001 00479,Yes
S001 00479,Yes
S001 01343,No
S001 02613,No
S001 02613,No
S001 02613,No
S001 02613,No
S002 05734,No
S002 06215,No
S002 06215,No
S002 07163,No
S002 08613,No
S002 08779,Yes
S002 08779,Yes
S002 20292,Yes
S002 20292,Yes
S002 20305,Yes
S002 20305,Yes
S002 20762,No
S002 20906,Yes
S002 20906,Yes
S002 23764,No
S002 23822,Yes
S002 23822,Yes
S002 23825,No
S002 23826,Yes
S002 26325,Yes
S002 26325,Yes
S002 26708,Yes
S002 26708,Yes
S002 26869,Yes
S002 26869,Yes
S002 27661,Yes
S002 27661,Yes
S002 27708,No
S002 27830,No
S002 28242,No
S002 28242,No
S002 28480,No
S002 28480,No
S002 28480,No
S002 28532,No
S002 28532,No
S002 28532,No
S002 28702,No
S002 28702,No
S002 28702,No
S002 28844,No
S002 29095,No
S002 29329,No
S002 29755,No
S002 29937,No
S002 30085,No
S002 30085,No
S002 30589,Yes
S002 31178,No
S002 31565,No
S002 31832,No
S002 31947,No
S002 32022,No
S002 32022,No
S002 32088,No
S002 32088,No
S002 32283,No
S002 32814,No
S002 33674,Yes
S002 34039,Yes
S002 34191,Yes
S002 34626,No
S002 34626,No
S002 34626,No
S002 34747,No
S002 34747,No
S002 34747,No
S002 35444,No
S002 35444,No
S002 35444,No
S002 45670,Yes
S002 45690,Yes
S002 45690,Yes
S002 45750,Yes
S002 45750,Yes
S002 45995,Yes
S002 46092,No
S002 46092,No
S002 46191,No
S002 46191,No
S002 46191,No
S002 46191,No
S002 47043,Yes
S002 47229L,Yes
S002 47229R,No
S002 47229R,No
S002 47229R,No
S002 47409,Yes
S002 47597,Yes
S002 47662,Yes
S002 47662,Yes
S002 47760,Yes
S002 48008L,No
S002 48008L,No
S002 48008L,No
S002 48008L,No
S002 48008L,No
S002 48008R,Yes
S002 48543L,Yes
S002 48543R,No
S002 48543R,No
S002 48543R,No
S002 48943L,Yes
S002 48943R,Yes
S002 49047L,Yes
S002 49047R,No
S002 49047R,No
S002 49348,Yes
S002 49626L,Yes
S002 49626R,Yes
S002 49665,Yes
S002 49769L,Yes
S002 49769R,Yes
S002 49978,Yes
S002 50278,Yes
S002 50361,Yes
S002 50816,Yes
S002 50816,Yes
S002 50816,Yes
S004 01525,Yes
S004 01525,Yes
S004 01525,Yes
S004 01525,Yes
S004 02624,No
S004 03768,Yes
S004 03881,No
S004 04660,No
S004 04887,No
S004 04942,No
S004 05035,No
S004 05217,No
S004 05404,No
S004 05531,No
S004 05669,No
S004 06891,No
S004 07603,Yes
S004 08172,No
S004 08599,Yes
S004 08599,Yes
S004 08599,Yes
S004 08647,No
S004 08949,No
S004 09554,Yes
S004 09554,Yes
S004 10118,Yes
S004 10118,Yes
S004 10368,No
S004 10620,Yes
S004 10620,Yes
S004 10719,No
S004 10852,No
S004 11333,No
S004 11877,Yes
S004 11877,Yes
S004 11877,Yes
S004 12226,Yes
S004 12226,Yes
S004 12226,Yes
S004 12835,No
S004 13373,Yes
S004 13373,Yes
S004 15219,No
S004 15408,No
S004 15513,No
S004 17505,No
S004 17505,No
S004 18957,No
S004 19697,No
S004 19744,No
S004 19795,Yes
S004 19795,Yes
S004 19795,Yes
S004 19795,Yes
S004 19795,Yes
S004 20168,Yes
S004 20168,Yes
S004 20380,Yes
S004 20380,Yes
S004 20414,No
S004 20414,No
S004 20414,No
S004 20611,No
S005 00446,Yes
S005 00446,Yes
S005 00635,No
S005 01050,Yes
S006 03614,Yes
S006 03614,Yes
S006 04590,Yes
S006 04590,Yes
S006 04590,Yes
S006 04590,Yes
S006 04719,No
S006 04778,Yes
S006 04778,Yes
S006 04778,Yes
S006 04938,Yes
S006 04938,Yes
S006 04938,Yes
S006 05166,No
S006 05166,No
S006 05643,No
S006 05643,No
S006 05795,No
S006 05941,No
S006 05941,No
S006 06221,No
S006 06342,No
S006 06533,No
S006 06640,No
S006 06870,No
S006 07128,No
S006 07255,Yes
S006 07255,Yes
S006 07255,Yes
S006 07255,Yes
S006 07255,Yes
S006 07276,Yes
S006 07276,Yes
S006 07276,Yes
S006 07276,Yes
S006 07276,Yes
S006 07613,Yes
S006 07613,Yes
S006 07613,Yes
S006 08121,Yes
S006 08121,Yes
S006 08121,Yes
S006 08121,Yes
S006 08121,Yes
S006 08259,Yes
S006 08259,Yes
S006 08259,Yes
S006 08259,Yes
S006 08296,No
S006 08296,No
S006 08296,No
S006 08296,No
S006 08740,No
S006 08910A,No
S006 09205,No
S006 09205,No
S006 09205,No
S006 09205,No
S006 09369,Yes
S006 09685,No
