,,Control Sequence Number,Original Construction,Concrete Overlay,Bridge Rail Reconstruct,Exp Joint Repair,Widening,Painting,Shop Plan available,Other,Redeck,Project Number,Design Load,Year,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,Structure Number,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR,,,,,,Year,Activity,Project Number,Design Load
1,S001 00166,1,Y,,,,,,,,,BRS-1-7(104)-1,HS20,1990,ok,1.0,,,,1990,Original Construction,BRS-1-7(104)-1,HS20
2,S001 00166,2,,,,,,,Y,,,12013,,,ok,1.0,,,,, Shop Plan available,12013,
3,S001 00266,1,Y,,,,,,,,,S-534-A-1,HS20,1960,ok,2.0,,,,1960,Original Construction,S-534-A-1,HS20
4,S001 00266,2,,,,,,,Y,,,10164,,,ok,2.0,,,,, Shop Plan available,10164,
5,S001 00266,3,,Y,Y,,,,,,,STR-1-7(1007)-1C,,2009,ok,2.0,,,,2009, Concrete Overlay Bridge Rail Reconstruct,STR-1-7(1007)-1C,
6,S001 00479,1,Y,,,,,,,,,S-534(A)-2,H-20,1960,ok,3.0,,,,1960,Original Construction,S-534(A)-2,H-20
7,S001 00479,2,,,,,,,Y,,,10164,,,ok,3.0,,,,, Shop Plan available,10164,
8,S001 00479,3,,Y,Y,,,,,,,STR-1-7(1007)-2C,,2009,ok,3.0,,,,2009, Concrete Overlay Bridge Rail Reconstruct,STR-1-7(1007)-2C,
9,S001 01343,1,Y,,,,,,,,,S-534(5),H-15,1967,ok,4.0,,,,1967,Original Construction,S-534(5),H-15
10,S001 01343,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,,ok,4.0,,,,, Other,STD PLAN 1822-A2-R2,
11,S001 02613,1,Y,,,,,,,,,FAGM-153-D(3)-1,H-15,1938,ok,5.0,,,,1938,Original Construction,FAGM-153-D(3)-1,H-15
12,S001 02613,2,,,,,,Y,,,,1(26.13)-1,,1971,ok,5.0,,,,1971, Painting,1(26.13)-1,
