,BIR_PRJD_ITEM_008,BIR_PRJD_RT_008A,BIR_PRJD_ORIG_PLN,BIR_PRJD_OVERLAY,BIR_PRJD_CURB,BIR_PRJD_DEV_RPAR,BIR_PRJD_WIDENING,BIR_PRJD_PAINTING,BIR_PRJD_SHOP_PLN,BIR_PRJD_OTHER,BIR_PRJD_RE_DECK,BIR_PRJD_FORM_PRJ,BIR_PRJD_DSGN_CLS,BIR_PRJD_YEAR
0,S001 00166,1,Y,,,,,,,,,BRS-1-7(104)-1,HS20,1990.0
1,S001 00166,2,,,,,,,Y,,,12013,,
2,S001 00266,1,Y,,,,,,,,,S-534-A-1,HS20,1960.0
3,S001 00266,2,,,,,,,Y,,,10164,,
4,S001 00266,3,,Y,Y,,,,,,,STR-1-7(1007)-1C,,2009.0
5,S001 00479,1,Y,,,,,,,,,S-534(A)-2,H-20,1960.0
6,S001 00479,2,,,,,,,Y,,,10164,,
7,S001 00479,3,,Y,Y,,,,,,,STR-1-7(1007)-2C,,2009.0
8,S001 01343,1,Y,,,,,,,,,S-534(5),H-15,1967.0
9,S001 01343,2,,,,,,,,Y,,STD PLAN 1822-A2-R2,,
10,S001 02613,1,Y,,,,,,,,,FAGM-153-D(3)-1,H-15,1938.0
11,S001 02613,2,,,,,,Y,,,,1(26.13)-1,,1971.0
12,S001 02613,3,,,,,,,Y,,,9142,,
13,S001 02613,4,,Y,,,,,,,,1(26.13)-1,,1983.0
14,S001 02613,5,,,,,,,Y,,,11436,,1983.0
15,S002 05734,1,Y,,,,,,,,,S-433(2),,
16,S002 05734,2,,,,,,,,Y,,F-2-1(1008)STD 1206,HS20,1988.0
17,S002 06215,1,Y,,,,,,,,,S-433(2)-1C,T20,1948.0
18,S002 06215,2,,,,,,,,Y,,F-2-1(1008)-1C,HS20,1988.0
19,S002 07163,1,Y,,,,,,,,,F-198(4)-3C,UNK,1969.0
20,S002 08613,1,Y,,,,,,,,,PLANS UNKNOWN.,,1937.0
21,S002 08779,1,Y,,,,,,,,,719-D-204 & 205,HS20,1962.0
22,S002 08779,2,,,,,,,Y,,,12099,,
23,S002 08779,3,,,,,,,,Y,,STR-20-1(1035)-1,,2009.0
24,S002 20292,1,Y,,,,,,,,,NH-BRF-2-2(108)-1,HS25,1992.0
25,S002 20292,2,Y,,,,,,Y,,,12184,,1992.0
26,S002 20305,1,Y,,,,,,,,,NH-BRF-2-2(108)-2,HS25,1992.0
27,S002 20305,2,,,,,,,Y,,,12184,,1992.0
28,S002 20762,1,Y,,,,,,,,,281-E-2,H-15,1931.0
29,S002 20762,2,,,,,,,Y,,,8500,,
30,S002 20906,1,Y,,,,,,,,,NH-BRF-2-2(105)-2,HS20,1992.0
31,S002 20906,2,,,,,,,Y,,,12183,,1992.0
32,S002 23764,1,Y,,,,,,,,,F-2-3(109)-1,HS20,1989.0
33,S002 23764,2,,,,,,,Y,,,11903,,
34,S002 23822,1,Y,,,,,,,,,WPGH-284-D-1,H-15,1935.0
35,S002 23822,2,,,,,,,Y,,,8917,,
36,S002 23822,3,,Y,,,Y,,,,,NH-2-3(113)-1,HS25,1994.0
37,S002 23825,1,Y,,,,,,,,,WPGH 284 D-3,E-72,1935.0
38,S002 23826,1,Y,,,,,,,,,NH-2-3(113)-2,RR,1994.0
39,S002 26325,1,Y,,,,,,,,,F-284(10),T-20,1965.0
40,S002 26325,2,,,,,,,,Y,,STD 1822-A2-R2,,
41,S002 26325,3,,,,,,,,Y,,EACNH-2-3(116)-6C,HS20,2002.0
42,S002 26708,1,Y,,,,,,,,,F-284(10),T-20,1965.0
43,S002 26708,2,,,,,,,,Y,,STD 1822-A2-R2,,
44,S002 26708,3,,,,,,,,Y,,EACNH-2-3(116)-11C,HS20,2002.0
