structureNumber,flowChartResult,randomForest,NDOTResult
NKA-MF-002,Yes,,,
NKA-MF-010,Yes,,,
NKA-RW-002,Yes,,,
NKA-FCD-001,Yes,,,
NKA-FCD-002,Yes,,,
NKA-FCD-003,Yes,,,
NKA-MIR-001,Yes,,,
NKA-AINS-023,Yes,,,
NKA-CAMB-001,Yes,,,
NKA-CAMB-003,Yes,,,
NKA-CAMB-004,Yes,,,
NKA-CAMB-013,Yes,,,
NKA-CAMB-021,Yes,,,
NKA-CAMB-037,Yes,,,
NKA-CULB-003,Yes,,,
NKA-CULB-006,Yes,,,
NKA-CULB-007,Yes,,,
NKA-CULB-010,Yes,,,
NKA-CULB-017,Yes,,,
NKA-CULB-018,Yes,,,
NKA-CULB-026,Yes,,,
NKA-CULB-031,Yes,,,
NKA-MEEK-003,Yes,,,
NKA-MEEK-004,Yes,,,
NKA-MEEK-005,Yes,,,
NKA-MEEK-006,Yes,,,
NKA-MEEK-007,Yes,,,
NKA-MEEK-008,Yes,,,
NKA-MEEK-009,Yes,,,
NKA-MEEK-010,Yes,,,
00000000000A048,No,,,
00000000000A100,No,,,
00000000000A106,Yes,,,
00000000000A107,Yes,,,
00000000000A113,Yes,,,
00000000000A126,No,,,
00000000000A138,No,,,
00000000000A150,Yes,,,
00000000000B312,Yes,,,
00000000000B313,Yes,,,
00000000000B314,Yes,,,
00000000000B315,Yes,,,
00000000000B316,Yes,,,
020701000003001,No,,,
6710001S0000000,No,,,
AFNENGCB30335,Yes,,,
AFNENGCB30340,Yes,,,
C000100305P,No,,No,
C000100405,No,,,
C000100505P,Yes,,No,
C000100905,Yes,,No,
C000100910,Yes,,No,
C000101000P,Yes,,,
C000101005,Yes,,No,
C000101010,No,,No,
C000101203,Yes,,,
C000101205,Yes,,,
C000101210,Yes,,,
C000101215,Yes,,Yes,
C000101220,No,,No,
C000101305,Yes,,No,
C000101315,No,,No,
C000101320,No,,No,
C000101410,No,,No,
C000101415,Yes,,,
C000101417,Yes,,,
C000101425,Yes,,,
C000101427P,Yes,,,
C000101430,Yes,,No,
C000101435,Yes,,No,
C000101505,Yes,No,No,
C000101510,Yes,,No,
C000101605P,Yes,,,
C000101615,Yes,,No,
C000101705,No,,Yes,
C000101710,Yes,,No,
C000101715,No,,No,
C000101720,No,No,No,
C000101725,Yes,,No,
C000101805,Yes,,No,
C000101810,Yes,,No,
C000101813,Yes,,,
C000101820,Yes,,No,
C000101903,Yes,,,
C000101905,No,,No,
C000101910,No,,,
C000101915,Yes,,,
C000101920,Yes,,,
C000102030,Yes,,,
C000102105,Yes,,No,
C000102110,Yes,,No,
C000102115,Yes,,Yes,
C000102120,Yes,,Yes,
C000102205,No,Yes,No,
C000102210,Yes,,No,
C000102305P,Yes,,No,
C000102310,No,,No,
C000102315,Yes,,No,
C000102405,No,,No,
C000102410,Yes,,Yes,
C000102430,Yes,,Yes,
C000102435,Yes,,No,
C000102440,Yes,,,
C000102610,No,,Yes,
C000102615,Yes,,No,
C000102620,Yes,,No,
C000102625,Yes,,No,
C000102630,Yes,,,
C000102705,Yes,,No,
C000102710,Yes,,,
